Workloads	Group	Page cache	Chell	
Seq-write	1	1117.788	5709.154
Seq-50/50	1	4749.861	5842.046
Seq-read	1	5562.412	6189.986
Random-write	1	3685.388	5150.313
Random-50/50	1	3808.925	4904.972
Random-read	1	4904.144	5078.284
Seq-write	4	1387.223	13903.272
Seq-50/50	4	7541.403	14062.380
Seq-read	4	10532.74	13686.491
Random-write	4	4364.097	13642.016
Random-50/50	4	7141.944	12947.352
Random-read	4	10214.66	12121.096
Seq-write	16	1972.331	12960.418
Seq-50/50	16	6883.299	13475.418
Seq-read	16	10737.15	15717.418
Random-write	16	3992.063	21791.869
Random-50/50	16	6823.665	20326.441
Random-read	16	10737.22	18643.139
